Area,Maximum sustained wind (in knots),Year,Month,Day,Path_ID,Order of points,Latitude,Longitude,Name,Hours,Minutes
Atlantic,25,2004,7,31,2004-1,1,30.3,-78.3,Alex,18,0
Atlantic,25,2004,8,1,2004-1,2,31,-78.8,Alex,0,0
Atlantic,25,2004,8,1,2004-1,3,31.5,-79,Alex,6,0
Atlantic,30,2004,8,1,2004-1,4,31.6,-79.1,Alex,12,0
Atlantic,35,2004,8,1,2004-1,5,31.6,-79.2,Alex,18,0
Atlantic,35,2004,8,2,2004-1,6,31.5,-79.3,Alex,0,0
Atlantic,40,2004,8,2,2004-1,7,31.4,-79.4,Alex,6,0
Atlantic,50,2004,8,2,2004-1,8,31.3,-79,Alex,12,0
Atlantic,50,2004,8,2,2004-1,9,31.8,-78.7,Alex,18,0
Atlantic,60,2004,8,3,2004-1,10,32.4,-78.2,Alex,0,0
Atlantic,70,2004,8,3,2004-1,11,33,-77.4,Alex,6,0
Atlantic,85,2004,8,3,2004-1,12,34.2,-76.4,Alex,12,0
Atlantic,85,2004,8,3,2004-1,13,35.3,-75.2,Alex,18,0
Atlantic,80,2004,8,4,2004-1,14,36,-73.7,Alex,0,0
Atlantic,80,2004,8,4,2004-1,15,36.8,-72.1,Alex,6,0
Atlantic,85,2004,8,4,2004-1,16,37.3,-70.2,Alex,12,0
Atlantic,95,2004,8,4,2004-1,17,37.8,-68.3,Alex,18,0
Atlantic,105,2004,8,5,2004-1,18,38.5,-66,Alex,0,0
Atlantic,105,2004,8,5,2004-1,19,39.5,-63.1,Alex,6,0
Atlantic,100,2004,8,5,2004-1,20,40.8,-59.6,Alex,12,0
Atlantic,90,2004,8,5,2004-1,21,42.7,-55,Alex,18,0
Atlantic,75,2004,8,6,2004-1,22,44.5,-49.3,Alex,0,0
Atlantic,65,2004,8,6,2004-1,23,46.1,-44.2,Alex,6,0
Atlantic,50,2004,8,6,2004-1,24,47,-37.5,Alex,12,0
Atlantic,30,2004,8,6,2004-1,25,47.4,-32.7,Alex,18,0
Atlantic,25,2004,8,3,2004-2,1,12.9,-53.6,Bonnie,12,0
Atlantic,25,2004,8,3,2004-2,2,13.2,-55.4,Bonnie,18,0
Atlantic,30,2004,8,4,2004-2,3,13.5,-57.4,Bonnie,0,0
Atlantic,30,2004,8,4,2004-2,4,13.6,-59.5,Bonnie,6,0
Atlantic,30,2004,8,4,2004-2,5,13.6,-61.6,Bonnie,12,0
Atlantic,30,2004,8,4,2004-2,6,13.7,-63.7,Bonnie,18,0
Atlantic,25,2004,8,5,2004-2,7,14,-65.7,Bonnie,0,0
Atlantic,25,2004,8,5,2004-2,8,14.9,-67.7,Bonnie,6,0
Atlantic,25,2004,8,5,2004-2,9,16,-69.7,Bonnie,12,0
Atlantic,25,2004,8,5,2004-2,10,16.5,-71.5,Bonnie,18,0
Atlantic,25,2004,8,6,2004-2,11,17,-73,Bonnie,0,0
Atlantic,25,2004,8,6,2004-2,12,17.1,-74.6,Bonnie,6,0
Atlantic,25,2004,8,6,2004-2,13,17.2,-76.2,Bonnie,12,0
Atlantic,25,2004,8,6,2004-2,14,17,-77.2,Bonnie,18,0
Atlantic,25,2004,8,7,2004-2,15,17.1,-78.2,Bonnie,0,0
Atlantic,20,2004,8,7,2004-2,16,17.4,-79.2,Bonnie,6,0
Atlantic,20,2004,8,7,2004-2,17,17.8,-80.2,Bonnie,12,0
Atlantic,20,2004,8,7,2004-2,18,18.4,-81.1,Bonnie,18,0
Atlantic,20,2004,8,8,2004-2,19,19,-81.9,Bonnie,0,0
Atlantic,25,2004,8,8,2004-2,20,19.7,-82.7,Bonnie,6,0
Atlantic,25,2004,8,8,2004-2,21,20.3,-83.5,Bonnie,12,0
Atlantic,25,2004,8,8,2004-2,22,20.9,-84.3,Bonnie,18,0
Atlantic,25,2004,8,9,2004-2,23,21.5,-85.5,Bonnie,0,0
Atlantic,30,2004,8,9,2004-2,24,22,-86.6,Bonnie,6,0
Atlantic,35,2004,8,9,2004-2,25,22.5,-87.6,Bonnie,12,0
Atlantic,40,2004,8,9,2004-2,26,22.9,-88.3,Bonnie,18,0
Atlantic,45,2004,8,10,2004-2,27,23.1,-89,Bonnie,0,0
Atlantic,45,2004,8,10,2004-2,28,23.4,-89.8,Bonnie,6,0
Atlantic,50,2004,8,10,2004-2,29,24,-90.6,Bonnie,12,0
Atlantic,45,2004,8,10,2004-2,30,24.4,-90.6,Bonnie,18,0
Atlantic,40,2004,8,11,2004-2,31,24.7,-90.6,Bonnie,0,0
Atlantic,40,2004,8,11,2004-2,32,25.2,-90.6,Bonnie,6,0
Atlantic,45,2004,8,11,2004-2,33,25.7,-90.4,Bonnie,12,0
Atlantic,55,2004,8,11,2004-2,34,26.4,-89.6,Bonnie,18,0
Atlantic,50,2004,8,12,2004-2,35,27,-88.8,Bonnie,0,0
Atlantic,45,2004,8,12,2004-2,36,27.7,-88.1,Bonnie,6,0
Atlantic,45,2004,8,12,2004-2,37,29,-86.1,Bonnie,12,0
Atlantic,40,2004,8,12,2004-2,38,29.6,-85.1,Bonnie,14,0
Atlantic,30,2004,8,12,2004-2,39,30.2,-84,Bonnie,18,0
Atlantic,25,2004,8,13,2004-2,40,31.9,-81.3,Bonnie,0,0
Atlantic,25,2004,8,13,2004-2,41,33.5,-79,Bonnie,6,0
Atlantic,25,2004,8,13,2004-2,42,35.5,-76.5,Bonnie,12,0
Atlantic,25,2004,8,13,2004-2,43,37.1,-74.9,Bonnie,18,0
Atlantic,20,2004,8,14,2004-2,44,39,-73.5,Bonnie,0,0
Atlantic,30,2004,8,9,2004-3,1,11.4,-59.2,Charley,12,0
Atlantic,30,2004,8,9,2004-3,2,11.7,-61.1,Charley,18,0
Atlantic,30,2004,8,10,2004-3,3,12.2,-63.2,Charley,0,0
Atlantic,35,2004,8,10,2004-3,4,12.9,-65.3,Charley,6,0
Atlantic,40,2004,8,10,2004-3,5,13.8,-67.6,Charley,12,0
Atlantic,45,2004,8,10,2004-3,6,14.9,-69.8,Charley,18,0
Atlantic,55,2004,8,11,2004-3,7,15.6,-71.8,Charley,0,0
Atlantic,55,2004,8,11,2004-3,8,16,-73.7,Charley,6,0
Atlantic,60,2004,8,11,2004-3,9,16.3,-75.4,Charley,12,0
Atlantic,65,2004,8,11,2004-3,10,16.7,-76.8,Charley,18,0
Atlantic,65,2004,8,12,2004-3,11,17.4,-78.1,Charley,0,0
Atlantic,75,2004,8,12,2004-3,12,18.2,-79.3,Charley,6,0
Atlantic,80,2004,8,12,2004-3,13,19.2,-80.7,Charley,12,0
Atlantic,90,2004,8,12,2004-3,14,20.5,-81.6,Charley,18,0
Atlantic,90,2004,8,13,2004-3,15,21.7,-82.2,Charley,0,0
Atlantic,105,2004,8,13,2004-3,16,22.7,-82.6,Charley,4,30
Atlantic,105,2004,8,13,2004-3,17,23,-82.6,Charley,6,0
Atlantic,95,2004,8,13,2004-3,18,24.4,-82.9,Charley,12,0
Atlantic,125,2004,8,13,2004-3,19,26.1,-82.4,Charley,18,0
Atlantic,130,2004,8,13,2004-3,20,26.6,-82.2,Charley,19,45
Atlantic,125,2004,8,13,2004-3,21,26.9,-82.1,Charley,20,45
Atlantic,75,2004,8,14,2004-3,22,28.1,-81.6,Charley,0,0
Atlantic,75,2004,8,14,2004-3,23,30.1,-80.8,Charley,6,0
Atlantic,65,2004,8,14,2004-3,24,32.3,-79.7,Charley,12,0
Atlantic,70,2004,8,14,2004-3,25,33,-79.4,Charley,14,0
Atlantic,65,2004,8,14,2004-3,26,33.8,-78.7,Charley,16,0
Atlantic,60,2004,8,14,2004-3,27,34.5,-78.1,Charley,18,0
Atlantic,40,2004,8,15,2004-3,28,36.9,-75.9,Charley,0,0
Atlantic,35,2004,8,15,2004-3,29,39.3,-73.8,Charley,6,0
Atlantic,30,2004,8,15,2004-3,30,41.2,-71.1,Charley,12,0
Atlantic,30,2004,8,13,2004-4,1,12.3,-21.8,Danielle,12,0
Atlantic,30,2004,8,13,2004-4,2,12.4,-23,Danielle,18,0
Atlantic,35,2004,8,14,2004-4,3,12.6,-24.2,Danielle,0,0
Atlantic,40,2004,8,14,2004-4,4,12.9,-25.5,Danielle,6,0
Atlantic,45,2004,8,14,2004-4,5,13.2,-26.8,Danielle,12,0
Atlantic,55,2004,8,14,2004-4,6,13.5,-28.1,Danielle,18,0
Atlantic,65,2004,8,15,2004-4,7,13.8,-29.3,Danielle,0,0
Atlantic,75,2004,8,15,2004-4,8,14.1,-30.8,Danielle,6,0
Atlantic,80,2004,8,15,2004-4,9,14.7,-32.1,Danielle,12,0
Atlantic,85,2004,8,15,2004-4,10,15.2,-33.5,Danielle,18,0
Atlantic,90,2004,8,16,2004-4,11,16,-34.8,Danielle,0,0
Atlantic,90,2004,8,16,2004-4,12,16.8,-36,Danielle,6,0
Atlantic,90,2004,8,16,2004-4,13,17.7,-37.2,Danielle,12,0
Atlantic,95,2004,8,16,2004-4,14,19,-38.2,Danielle,18,0
Atlantic,95,2004,8,17,2004-4,15,20.3,-38.9,Danielle,0,0
Atlantic,90,2004,8,17,2004-4,16,21.7,-39.6,Danielle,6,0
Atlantic,90,2004,8,17,2004-4,17,23.3,-40,Danielle,12,0
Atlantic,85,2004,8,17,2004-4,18,24.6,-40.3,Danielle,18,0
Atlantic,75,2004,8,18,2004-4,19,25.9,-40.6,Danielle,0,0
Atlantic,65,2004,8,18,2004-4,20,27.3,-40.3,Danielle,6,0
Atlantic,55,2004,8,18,2004-4,21,28.1,-39.8,Danielle,12,0
Atlantic,45,2004,8,18,2004-4,22,28.9,-38.9,Danielle,18,0
Atlantic,40,2004,8,19,2004-4,23,29.3,-37.8,Danielle,0,0
Atlantic,40,2004,8,19,2004-4,24,29.7,-37.7,Danielle,6,0
Atlantic,35,2004,8,19,2004-4,25,29.9,-37.7,Danielle,12,0
Atlantic,35,2004,8,19,2004-4,26,29.9,-37.2,Danielle,18,0
Atlantic,35,2004,8,20,2004-4,27,29.8,-36.8,Danielle,0,0
Atlantic,35,2004,8,20,2004-4,28,30.2,-37,Danielle,6,0
Atlantic,35,2004,8,20,2004-4,29,30.5,-37.2,Danielle,12,0
Atlantic,30,2004,8,20,2004-4,30,30.9,-37.6,Danielle,18,0
Atlantic,30,2004,8,21,2004-4,31,30.9,-38,Danielle,0,0
Atlantic,30,2004,8,21,2004-4,32,30.6,-38.6,Danielle,6,0
Atlantic,25,2004,8,21,2004-4,33,30.7,-38.9,Danielle,12,0
Atlantic,25,2004,8,21,2004-4,34,30.5,-39.2,Danielle,18,0
Atlantic,25,2004,8,22,2004-4,35,30.3,-39.8,Danielle,0,0
Atlantic,25,2004,8,22,2004-4,36,30.2,-40.3,Danielle,6,0
Atlantic,25,2004,8,22,2004-4,37,30.3,-40.8,Danielle,12,0
Atlantic,25,2004,8,22,2004-4,38,30.4,-41.2,Danielle,18,0
Atlantic,25,2004,8,23,2004-4,39,30.8,-42,Danielle,0,0
Atlantic,25,2004,8,23,2004-4,40,31.7,-42.5,Danielle,6,0
Atlantic,25,2004,8,23,2004-4,41,32.3,-43.3,Danielle,12,0
Atlantic,25,2004,8,23,2004-4,42,33.1,-43.8,Danielle,18,0
Atlantic,20,2004,8,24,2004-4,43,33.9,-44.2,Danielle,0,0
Atlantic,20,2004,8,24,2004-4,44,34.7,-44.6,Danielle,6,0
Atlantic,20,2004,8,24,2004-4,45,35.5,-45,Danielle,12,0
Atlantic,20,2004,8,24,2004-4,46,36.4,-45.2,Danielle,18,0
Atlantic,30,2004,8,13,2004-5,1,9,-45.6,Earl,18,0
Atlantic,30,2004,8,14,2004-5,2,9.2,-47.4,Earl,0,0
Atlantic,30,2004,8,14,2004-5,3,9.6,-49.2,Earl,6,0
Atlantic,30,2004,8,14,2004-5,4,10.1,-51.4,Earl,12,0
Atlantic,35,2004,8,14,2004-5,5,10.5,-53.5,Earl,18,0
Atlantic,35,2004,8,15,2004-5,6,11,-55.9,Earl,0,0
Atlantic,45,2004,8,15,2004-5,7,11.5,-58.3,Earl,6,0
Atlantic,45,2004,8,15,2004-5,8,11.8,-60.8,Earl,12,0
Atlantic,35,2004,8,15,2004-5,9,12.1,-62.8,Earl,18,0
Atlantic,25,2004,8,25,2004-6,1,11.1,-35.2,Frances,0,0
Atlantic,30,2004,8,25,2004-6,2,11.2,-36.8,Frances,6,0
Atlantic,30,2004,8,25,2004-6,3,11.3,-38.3,Frances,12,0
Atlantic,35,2004,8,25,2004-6,4,11.5,-39.8,Frances,18,0
Atlantic,40,2004,8,26,2004-6,5,11.9,-41.5,Frances,0,0
Atlantic,45,2004,8,26,2004-6,6,12.3,-42.9,Frances,6,0
Atlantic,55,2004,8,26,2004-6,7,12.8,-44.5,Frances,12,0
Atlantic,65,2004,8,26,2004-6,8,13.3,-45.8,Frances,18,0
